门诊,outpatient,0.5024907839952254
门诊所,outpatient,0.5024907839952254
有如,like,0.5024800800046606
电缆,cable,0.5024372179789635
发着,radiance,0.5023937987981825
债务人,debtor,0.5023073534761525
足球赛,football,0.5022875065511198
木制,wood,0.5021818650052896
五条,five,0.5021432395807836
速率,rate,0.5021395510151764
丙烯酸,acrylic,0.5020928117089295
柔情,eliciting,0.5020832312251299
间谍,spy,0.5020803338900475
活动室,room,0.5020604021224521
倘若,if,0.5020430062653152
弗吉尼亚州,virginia,0.5020274378704199
来源,source,0.5020248912733781
脆,crisp,0.5019996336354438
件,a,0.5019565662943904
女主人,hostess,0.501875407175637
天天,day,0.5018482228035961
插,in,0.5017609486249063
大多,most,0.501745699227925
肢体,limb,0.5017195395317146
衣服,clothes,0.5016569917722961
被压迫,oppressed,0.5016134097773668
旗帜,flag,0.5016092502543721
很久,long,0.5015596063129107
脸部,face,0.5015342617059889
细胞核,nucleus,0.5015207842382462
胸腺,thymus,0.501493381265813
流产,aborted,0.5014120016024041
休克,shock,0.5013732062137192
正义,justice,0.5013172724535712
及其,and,0.5012307412058601
交清,complete,0.5011211022327011
电力,power,0.5010218870477087
敞开,open,0.5010020709282739
玛利亚,maria,0.500990554091007
作物,crops,0.5009768711828855
钉子,nail,0.500975868885138
记住,remember,0.5009134156425485
孢子,spore,0.5008412645169426
加拿大人,canadian,0.5007434776037316
十进制,decimal,0.5006791940074334
信上,letter,0.5006442709474802
共用,common,0.5005551205643585
著名,famous,0.5004674662698007
大连,dalian,0.5004124565100977
响,the,0.5003954343563889
越多,more,0.5003949933160274
玻璃体,vitreous,0.5003500045539165
无纪律,restraint,0.500334815725454
垂涎,drool,0.5003159198590367
联想起,suggestive,0.5002615386927142
冷得,cold,0.5002602353191
乐坏了,thrilled,0.5002533310918723
隔壁,next,0.5002121107503487
收货,receiving,0.500157857795188
唔该,please,0.5001382567207248
好书,good,0.5001133670755875
碱化,alkaline,0.5000826795600545
弱碱,alkaline,0.5000826795600545
拉人,holding,0.5000424561929144
推人,pushing,0.5000424561929144
包含,containing,0.5000390577663526
缓存,cache,0.5000285758247595
大封,overlord,0.5000252148470041
调拨,treasurer,0.5000249133546756
酒楼,house,0.500012050544325
后肢,hind,0.5000096783085719
药检,spot,0.5000071053557867
当众宣布,declare,0.5000018613330085
欺行霸市,quotation,0.5000003572399853
效仿,suit,0.5000001001915378
泛泛而谈,specialized,0.5000000807562234
上厕所,nature,0.5000000659007281
嘀嘀咕咕,grumbling,0.5000000186826474
不羁,phoenix,0.5000000003952255
谍,mission,0.5000000001378844
存取时间,access,0.5
候机楼,airport,0.5
波特率,baud,0.5
粗劣品,bad,0.5
银行费用,banking,0.5
牛肉汤,beef,0.5
快滚,beetle,0.5
自行车厂,bicycle,0.5
绩优股,blue,0.5
餐会,box,0.5
义和团运动,boxer,0.5
文莱达鲁萨兰国,brunei,0.5
缓冲存储器,buffer,0.5
业务联系,business,0.5
购票,buy,0.5
供不应求,cannot,0.5
卡片穿孔机,card,0.5
车资,cartage,0.5
现金支票,cash,0.5
三角债,chain,0.5
大通银行,chase,0.5
托收,collection,0.5
连载故事,continued,0.5
连载小说,continued,0.5
文字编辑,copy,0.5
版权所有,copyright,0.5
数字相机,digital,0.5
争议地区,disputed,0.5
起草委员会,drafting,0.5
最终用户,end,0.5
工程设计,engineering,0.5
合理冲撞,fair,0.5
义卖场,fancy,0.5
第五十一,fifty,0.5
财务计划,financial,0.5
近水楼台先得月,first,0.5
流程图,flow,0.5
忘我,forget,0.5
正式照会,formal,0.5
任意球,free,0.5
运价,freight,0.5
寻乐,gallivant,0.5
礼品店,gift,0.5
贪多嚼不烂,all,0.5
猜猜看,guess,0.5
客座教授,guest,0.5
超级终端,hyper,0.5
害人害己,harm,0.5
链金术,hermetic,0.5
冰风暴,ice,0.5
工业园区,industrial,0.5
打白条,issue,0.5
站开,keep,0.5
等待时间,latency,0.5
联想集团,legend,0.5
狮子王,lion,0.5
三角恋爱,love,0.5
市场准入,market,0.5
千年,millennium,0.5
千年虫,millennium,0.5
拜金主义,money,0.5
一切向钱看,money,0.5
多式,multimodal,0.5
净价,net,0.5
实价,net,0.5
不会吧,not,0.5
办公自动化,office,0.5
摊鸡蛋,omelet,0.5
故宫博物馆,palace,0.5
掌上电脑,palm,0.5
延期付款,payment,0.5
小飞侠,peter,0.5
钌,physically,0.5
硌,physically,0.5
研究者,physically,0.5
保险客户,policy,0.5
掠夺性,predatory,0.5
价格控制,price,0.5
物价飞涨,prices,0.5
快速反应,quick,0.5
无线电厂,radio,0.5
随机存取,random,0.5
循环信用证,revolving,0.5
圣卢西亚,saint,0.5
销售费用,selling,0.5
桃色新闻,sex,0.5
装货单,shipping,0.5
春意,spring,0.5
萌动,spring,0.5
漏征,tax,0.5
公用电话亭,telephone,0.5
阳物,accordion,0.49999999999999734
声誉,reputation,0.4999741793739375
老头,old,0.4999155907290927
斯拉夫,slavic,0.4998295873343968
生产率,productivity,0.4997654732603586
睡着了,asleep,0.49975706333811265
一端,end,0.49975686136040093
天文学,astronomy,0.49959717587756985
以前,before,0.4994647387738728
新建,new,0.4993191146968131
渔船,fishing,0.49927758529307725
打扮,up,0.49916527102773955
植物体,a,0.4991488976146161
垒球,baseball,0.4990625888916492
忙碌,busy,0.4990499855687219
箱子,box,0.4989946194668927
阅读,reading,0.4989394231835536
角落,corner,0.4989212708962967
秒针,hand,0.4988040584649754
细胞膜,membrane,0.4986957999827152
小山,hill,0.4986222273140491
有一个,a,0.4985820086669508
批发,wholesale,0.49858180998906765
哪一条,have,0.4985473367280499
飞机场,airport,0.4985198727546755
某事,sth,0.4984888673508044
猎犬,hounds,0.4984852190212818
接合部,regions,0.49846281777990076
首席法官,supreme,0.49845071345068276
紫色,purple,0.4983946993939518
花束,bunch,0.498303298368183
松林,pines,0.4982506006009218
手电筒,torch,0.4982464663429617
塞进,into,0.4981371410845764
部门,department,0.4981109627154324
印度洋,indian,0.4980697021011691
购物,shopping,0.4980621597954932
金属加工,metal,0.4980557345307457
球芽,bulb,0.49804814243843565
玩具,toy,0.4980354130043289
莴苣,lettuce,0.4979693997685195
查,charles,0.4979181498985962
俄语,russian,0.4979131637933184
两块,two,0.497873094843669
中学,school,0.49781802499114136
形,a,0.49777004465868624
热,hot,0.4977638421358678
她被,she,0.4976919999198287
那,the,0.4976840683743856
清空,cleaned,0.49768125246476036
恋爱,love,0.49764896338398645
年里,years,0.4976484589477746
希尔顿,hilton,0.49762441896922793
很晚,late,0.4976049848977571
裁判,referee,0.4975589740195568
原先是,originally,0.4975505271947195
神通,clout,0.4974874555860416
年青,young,0.4974647458628678
环氧化物,such,0.49741110152427986
距离,distance,0.49739033127481175
滑溜,smooth,0.497320345317575
朴实无华,an,0.49726794065371516
情理,empty,0.4972486769670917
它就,it,0.4972250831676482
大娘,aunt,0.4971561445679551
文章,article,0.49707904080738424
轨,track,0.49707372107010517
时报,times,0.49700206388825346
云层,clouds,0.49696697668023365
点亮,lit,0.4969239878581539
费城,philadelphia,0.49689546233440046
水里,water,0.49680653392926055
复活节,easter,0.496748701029629
最有,most,0.4967359671422631
2051,live,0.4967126039837379
冲走,away,0.4966564920476851
警察局,police,0.4966003325226921
上周,last,0.49658248579542763
房,room,0.49657647279878464
饮料,drink,0.49655966800806683
恐怖分子,terrorists,0.49651137257300326
总,always,0.49646258981901503
短打,bunting,0.49638848725173995
分为,into,0.4962909827418973
后边,behind,0.49622228588871675
成本价,cost,0.4961680624827027
中缀,studded,0.4961544886396941
英寸,inches,0.49614956147533384
死刑,death,0.4961271313457623
陈述,statement,0.496097588108481
附近,near,0.49609590062347975
鸡,chicken,0.49609087932386814
任务,task,0.496057334471727
妇人,woman,0.4959143726973032
小虾,shrimps,0.4958927778847862
乐器,instrument,0.4958727676358654
谜语,puzzle,0.49566564524572354
出版物,publication,0.4956430698898338
从没有,never,0.4956016729267279
命会,committee,0.4955499056044926
十个,ten,0.49552444874563334
士兵,soldiers,0.49552381525682965
昨夜,night,0.49548714124452564
跟,with,0.49544287120061853
组成,of,0.4953883148381311
任命,appointed,0.4953133819338505
厚板,planks,0.49525110335256123
族群,crowd,0.49515003753696385
社会,social,0.4950615969111202
家长,parents,0.4950585847074602
联邦,federal,0.4949960824288482
笛子,flute,0.49492785141006546
免,from,0.49485592122538746
代表大会,congress,0.49482172332570595
晚饭,dinner,0.4947584644400828
原子序数,atomic,0.49471210559303314
死人,dead,0.4946843413080506
但有,but,0.49458306827963416
规则,rules,0.4945663205183454
浪漫主义,romantic,0.4945461473824008
笔尖,nib,0.49446111676998533
病了,ill,0.4943858827187668
这首,the,0.49435426512456526
已被,been,0.4943295185148541
伸出,out,0.4942426392471369
这项,the,0.4942094969065084
稀有,rare,0.49413793719955473
阿拉伯半岛,arabia,0.49406587808857483
确实,really,0.4939310781235372
同事,colleagues,0.49386940057096423
若是,if,0.4938468460916792
湖边,lake,0.49375665143677944
稻子,rice,0.4937025627463057
语法,grammar,0.4936457036307091
果酱,jam,0.4935623040792069
电炉,electric,0.49349854652286557
相似,similar,0.4934794809509475
国际象棋,chess,0.4934613904910167
树下,under,0.4934356881877292
欲望,desire,0.4934013806822804
心脏病,heart,0.4933650606185001
冰块,ice,0.4931833021887961
或与,or,0.49316100170568206
喜悦,joy,0.49310092091781926
善终,bad,0.493084745073556
从来不,never,0.4930607224570584
数据传输,data,0.49304663618228967
收银,cashier,0.4930378776461542
团体,group,0.492998414258035
来自于,from,0.49296656537892225
河边,river,0.49293217488075214
并不,not,0.49291489715019754
昆虫,insects,0.49290764451635294
墙头,wall,0.4928088172147957
碾成,crush,0.4927880921016503
如饥似渴,voracious,0.49277971356917205
铁制,iron,0.4927197728168405
心理学家,psychologist,0.4926026067470887
技术员,technician,0.4925620668516377
蒙古,mongolia,0.49250869945130293
幸福,happiness,0.4925033353850275
漆,paint,0.4924692791302738
涂去,out,0.4924208241408606
正规,formal,0.49241938189259266
中,in,0.4923915414980618
刚,just,0.49235723085110783
改调,itself,0.4923178403121891
玛莉,mary,0.4922200205287404
音变,hoarse,0.49216499747888215
里的,in,0.49212939190559807
高,high,0.4921201387171313
将尽,as,0.4920866222767612
娇养,pampered,0.4920309408577239
正忙着,busy,0.4920136214841804
一直在,been,0.4920012120852843
雇佣军,mercenary,0.4918515125483175
给它,it,0.491831235938448
指南针,compass,0.49176476429913185
写作,writing,0.49175768105229034
英俊,handsome,0.4916686482766341
跟我,me,0.49165238755640894
逛荡,lazed,0.49162037777061307
多刺,prickly,0.49155184412884495
计程器,ticking,0.49154582872751595
市场策略,lucrative,0.4915438930687506
直陈,indicative,0.49148129559346126
她说,she,0.4914592164915138
拳击手,boxer,0.49141374895763906
发明,invention,0.4913960526615981
上诉,appeal,0.49118303553395154
典型,typical,0.4911824662452434
肺炎,pneumonia,0.49114830718747293
一所,a,0.4911400154480747
遇害身亡,murdered,0.4911398101349665
租住,tenanted,0.4911331345462238
小于,than,0.4911307641367299
晚上好,evening,0.49112920793413184
老年人,old,0.4911233923910449
先进,advanced,0.4911200895383627
名称,name,0.491079978051252
听诊器,stethoscope,0.49099296068444476
家庭作业,homework,0.4909754395336334
方面,in,0.49086894369172257
应该,should,0.49082511081233937
代理商,agent,0.49076203454579126
第二,second,0.49074918811462676
突尼斯,tunisia,0.4906788348944109
万,million,0.49061892593704576
嘴,mouth,0.49061162500985167
苦味,bitters,0.49058221034669347
租金,rent,0.49056507988084946
报春花,cowslip,0.49055847061776525
手巾,handkerchief,0.49050053994575465
牧羊人,shepherd,0.49049619063897604
录音带,tape,0.4904914248752744
想像力,imagination,0.4903913685062266
大虾,jumbo,0.490370762111875
微妙,subtle,0.49027351482526194
镇,town,0.49020075356091913
全班,class,0.4901987543111172
飕,past,0.4901897805381435
症,of,0.4901278104737889
大叔,uncle,0.49010872498499986
锄,cut,0.4900412410283176
亲缘,related,0.49003417636365715
见闻录,narrative,0.4899936059515197
三份,three,0.48985238963866906
辆车,car,0.4898389660961154
避免,avoid,0.48982816271529694
新闻简报,bulletin,0.4898228561508466
差异,difference,0.48981172174358795
回去,back,0.4898092887305804
答案,answer,0.48978162091743493
一个词,word,0.4897315832654647
那场,the,0.4896065369778088
对话体,dialogue,0.48941485407826146
对手,opponent,0.48940157522013356
饿,hungry,0.4894013676970832
爱迪生,edison,0.48933436130589936
出厂价格,cost,0.48929197626053256
蒸发掉,down,0.48926704119509096
安静,quiet,0.4892534400892019
闪电,lightning,0.48923720193558295
缅甸,burma,0.4892150925893691
昨晚,last,0.489178612757028
那座,the,0.48906968946288476
两项,two,0.48901970968361885
单只,single,0.48894102297821357
依然,still,0.4889313143326071
含酒精,alcoholic,0.48888134984497883
朱诺,juno,0.4888300137854283
外孙女,daughter,0.4888131926560128
做生意,business,0.4887557866880911
响声,noise,0.48872824968715123
对过去,past,0.4887213720942396
高低,and,0.48871918346340265
浓烟,smoke,0.4887072917753469
做礼拜,church,0.4886991345278828
可不可以,can,0.4886626517878936
累了,tired,0.4885188060958244
伤疤,scar,0.48846146949952784
年前,years,0.48844045374513706
中所,in,0.4884403345326726
幼鱼,young,0.4884352672290121
影子,shadow,0.48836279336573934
湿,wet,0.48835905350348824
对面,opposite,0.4883323695536121
地质学,geology,0.48831768788831875
福利,welfare,0.488292588643039
平滑的,smooth,0.48825551119856536
蜜,honey,0.48824564190426634
充气,inflatable,0.4881881842577744
块状,mass,0.4881743962961779
踝,ankle,0.4881356906258171
这,the,0.4881321846008387
大多数人,most,0.48811143596526735
饰,a,0.48808185410864596
氩,argon,0.4878340671679511
病得,ill,0.4877851286797494
野战,field,0.48772528260002723
严重,serious,0.48771367372044055
丑陋,ugly,0.4876532450097248
杜松子酒,gin,0.48759583584522476
手,hand,0.4875857690891802
小,small,0.48749253635000167
雾中,fog,0.4874645992810549
教学法,pedagogy,0.4873372585650415
军衔,rank,0.48727914339147715
苏格拉底,socrates,0.48721042308076057
贝雷帽,beret,0.4871435049086603
1203,at,0.4869272050863025
假面具,masked,0.4869033522983196
纽约,york,0.4868706814358025
讲演者,speaker,0.4868325989518643
南,nancy,0.4868294128743365
休息,rest,0.4867051558633923
电视台,television,0.48669573672708066
接班人,successor,0.4866720947563546
办事员,clerk,0.4865573895028236
通奸罪,commits,0.4863912408011408
青草,grass,0.48638683078798683
民主运动,democratic,0.48636177136387637
松散,loose,0.48635271661924057
一直是,been,0.4863439683660542
共产主义,communism,0.4863150421095933
庄稼,crops,0.4862007968928927
课文,text,0.4861237675559989
千篇一律,canned,0.4859682877688051
花纸,sticker,0.4859030414259901
胶粘,sticker,0.4859030414259901
外省人,provinces,0.48588424085435983
调教,a,0.4858513883622938
武汉,wuhan,0.4858339662995959
玩票,at,0.4858327205872455
一个字,word,0.48573926360330194
几次,several,0.4856885399154029
依赖,on,0.4856842375592946
至于,as,0.485612868697169
凸透镜,lens,0.4855604732658123
物价上涨,prices,0.4855032962101007
堵上,fill,0.48548562057985223
或为,or,0.4854785666785314
考古学家,archaeologist,0.4854761565363282
冒出来,up,0.4854351195477845
电压,voltage,0.48538004014405917
该剧,play,0.48531895671652037
密不可分,fear,0.4852111205270981
双脚,feet,0.48507466234551844
开进,into,0.4850571718667774
绒毛状,fuzzy,0.4850467381969625
发上,hair,0.4850039578495638
纪律,discipline,0.48493388049899006
侄子,nephew,0.4849056386374666
舌,tongue,0.4847758938619871
如用,as,0.48474879282360506
这只,the,0.48469745410730963
鸡尾酒,cocktail,0.4846813435535061
石油化学,petroleum,0.48455247719515426
铺开,pawnbroker,0.4845055169250951
外出,out,0.4845025608975181
后房,backroom,0.484456310054055
病人,patient,0.48445326625431007
亚当斯,adams,0.48444342103304266
底特律,detroit,0.48437784271892487
骗我,me,0.4843715467897045
企业,business,0.48434446632893613
杜鹃花,azaleas,0.4842994516795095
动议,motion,0.4842904554407351
企图,to,0.48427789226498724
st,pitchers,0.48427582619315884
高尔夫,golf,0.48421589966635137
铁的,iron,0.4842087560833969
切,cut,0.48418171215088257
日食,blotted,0.4841455501164473
但他,but,0.48411186136483564
魔鬼,devil,0.4840875817720856
相似之处,similarity,0.48404505047472685
液态,liquid,0.4839692061253654
毒素,toxin,0.4839655381299528
精炼,refined,0.48395652454456883
六面体,cube,0.48391880857923253
想你,you,0.48391338558366676
悠久,long,0.483912750016644
玫瑰,roses,0.48384371975253215
供应,supply,0.4838302753867727
中西部,west,0.48377210057090453
子弹,bullet,0.4836572401306155
福州,fuzhou,0.4836443864534366
马车,carriage,0.483599012156492
首任,first,0.48355843363983747
满了,with,0.4835465383648205
第,the,0.48344846020568927
设备,equipment,0.48338148789266977
指挥棒,baton,0.48335786663109503
构造,structure,0.4833340477264429
征税,tax,0.4833145949384716
莫及,sudden,0.48328173685166936
老式,old,0.4832119409577864
牡蛎,oysters,0.4831971870898713
交货,delivery,0.4831862021456978
窗子,window,0.4831560471427113
茶点,tea,0.4831327038163146
数说,recounted,0.4831172138683131
西印度群岛,west,0.48304246952172075
雉,pheasant,0.48298323384656766
深黄,yellow,0.4829793200488919
啃着,a,0.48284711514362477
那家,that,0.48283528959967037
machine,machine,0.482777583212817
个月,months,0.4827601934986757
转圈,around,0.4827363297786861
反应堆,reactor,0.482734239322582
小块,small,0.48270098758954305
雪茄烟,cigar,0.48269885097757453
Michael,michael,0.48269674704525467
领带,tie,0.48262015746065945
闪族,semitic,0.482618404574208
马桶,flush,0.482563604949843
数百万,millions,0.4824978236661363
下属,department,0.4824921367281705
巧,coaxed,0.48249046254227645
34,figures,0.48248230958823735
偏差,deviation,0.4824598881407106
美洲人,american,0.48245913231667414
慢慢,slowly,0.4824206787879177
是因为,because,0.48239663151782886
软木塞,cork,0.4823629273396651
人文主义,humane,0.4823544752118322
她却,she,0.48226267330443523
构型,configuration,0.48222548431410295
噗通一声,splash,0.4821992171476942
待会儿,later,0.4821820762032506
五头,rulers,0.4821809192021907
冻得,cold,0.48211797571119086
曲柄,crank,0.4821170441868866
社交,social,0.4821056955228413
纪录,record,0.48208687738945905
龙骨,keel,0.4820293164240017
瓦屋,shingles,0.48199908956024134
耸动视听,sensationalism,0.4819850501405792
更为,more,0.4819761183646613
任,any,0.4819233825794476
转,the,0.48191437208363375
封在,lodged,0.48191042078684637
曲,a,0.48186446729192756
育成,bred,0.4818096920379255
上个月,month,0.4817572541876353
瞧,look,0.4817447454045986
脑子里,mind,0.48171587256584564
日报,daily,0.4816752738395583
希特勒,hitler,0.48166189109645474
捕手,catcher,0.48165491867721977
戈尔巴乔夫,gorbachev,0.4815770745952482
股息,dividend,0.4815516151968871
强记,cramming,0.4814295340600321
765,be,0.4814074791245573
4321,be,0.4814074791245573
飞的,flying,0.4814038368485177
天鹅绒,velvet,0.4813920573896695
掉进,into,0.48138729019413595
拍发,submarine,0.4813865653831334
死者,dead,0.48134329755509664
它被,it,0.4813417434909337
录音,recording,0.48133054508132994
既不,nor,0.4813241288630558
血球,blood,0.4812807907949527
铺路,paving,0.4812613695181191
出新,new,0.4812041929453552
小猪,pig,0.4811662052056337
邮局,post,0.4810954282285496
正常,normal,0.481059126449929
计算机硬件,hardware,0.4810215066654129
是的,yes,0.481006761412473
几年,years,0.48094982757605803
宾州,pennsylvania,0.480897417083105
那匹,horse,0.4808717966721917
塑料袋,plastic,0.48085963557341277
起飞,off,0.48084257181664397
及时,time,0.4808307676813299
黑,dark,0.4808287577869386
月球上,moon,0.48077746819470013
佛罗里达州,florida,0.48074175886273196
温暖,warm,0.48069352883563504
朝西北,northwest,0.48056131252314305
日元,yen,0.48044653759100747
全家人,family,0.4803460973246165
荣获,won,0.48034035327428476
黑人,black,0.4802856793593009
赛季,season,0.4802672428825351
促膝谈心,knee,0.480145110597158
脾气,temper,0.4801150764460148
高烧,fever,0.48011133313331944
强烈,strong,0.4799826803843731
麦克风,microphone,0.47996071230991677
丢失,lost,0.4799396042269244
消化不良,indigestion,0.4799226820183615
骨质,bony,0.47990313435786264
怎,how,0.4799004917900427
俯卧,prone,0.4798525588287125
赭色,moderate,0.4798164726805256
杏黄,moderate,0.4798164726805256
多条,more,0.47978550123684444
和你,you,0.4797646020679962
厄瓜多尔,ecuador,0.47975843621156006
洪都拉斯,honduras,0.47975843621156006
肯尼亚,kenya,0.47975843621156006
利比里亚,liberia,0.47975843621156006
塞内加尔,senegal,0.47975843621156006
蝗虫,locusts,0.4795370334533728
额外,extra,0.4794571662240806
谑,penny,0.4794331507976941
天主教会,catholic,0.47942358525331524
落后,behind,0.4793811001391055
至此,here,0.4793742883882895
手指,finger,0.47935991275789985
杭州,hangzhou,0.47932601116472506
基地,base,0.4793119663051207
双亲,parents,0.47921335414376015
远离,from,0.4791289053044787
哈罗,harold,0.47909401812777475
肝脏,liver,0.47900953128878754
半,half,0.47889480803122836
过冬,winter,0.47888901641962167
泵,pump,0.47882929603320273
开水,water,0.4788094926602053
垂手而得,cheap,0.4787721184702793
相适应,adapting,0.4787357744738103
太,too,0.4787330548320541
权力,power,0.47869432231112763
邮件,mail,0.47866581858276563
足球比赛,football,0.4786503429216684
烂得,soon,0.4785925134790596
早慧,soon,0.4785925134790596
百年,years,0.47856103151032353
斗蓬,mantle,0.4785395247750267
仍,still,0.478532018197171
快照,snapshot,0.47851748570294605
设计,design,0.4785053778271708
她于,she,0.478462278109064
西红柿,tomato,0.47845743633613375
布告,notice,0.4784418622044769
自然地,naturally,0.47840494355882063
洞穴,cave,0.47839910872366076
男用,derby,0.4783968599397185
叫他,him,0.47833535852767534
群众,the,0.4783254229559042
溃疡,ulcer,0.4782007682276764
但也,but,0.47819006117834967
大酒店,hotel,0.4781357998431346
生产者,producers,0.47813285931000515
组织细胞,examine,0.4781044808336523
属于,to,0.47807144662841555
接触传染,transmission,0.47803289923344894
形学,graphics,0.4780033325677138
债务,debt,0.4780022918463101
雕塑,sculpture,0.47779549206573396
共和党,republican,0.477791062256188
副词,adverb,0.47778691900122855
电磁辐射,radiation,0.47776203914266074
部位,part,0.4776854787977703
部,a,0.4776394340787331
一名,a,0.4776200605130912
经历,experience,0.4775696892261647
度上,in,0.47752185524541224
架,a,0.47751790008174
海报,poster,0.4775171169029272
将会,will,0.47749974913250287
曼彻斯特,manchester,0.4774678907962889
诸如,such,0.4774305378511823
寻找,for,0.47739951481854137
会计学,accountancy,0.4773623192546284
帆,sail,0.4771795462849444
杠杆,lever,0.47714377171488204
十月份,october,0.4771342967217819
岛国,island,0.4770615705085535
汉子,man,0.4770071886005737
黄色电影,blue,0.47696932497906436
厨子,cook,0.4769567239894152
血清,serum,0.4769259444716697
新式,new,0.47690902086847514
平台,platform,0.47687487067949197
别针,pin,0.47683440218048734
腐蚀性,corrosive,0.4768238371810403
所得税,income,0.47677708093385657
哈尔滨,harbin,0.4767642482330612
那种,that,0.4767178005690942
合唱曲,part,0.4767138008415291
邮政,postal,0.4767053099788539
而又,and,0.47669369659126765
阿拉斯加,alaska,0.47666830590436354
北美,north,0.47666397764968954
星辰,stars,0.4766124780856544
北地,north,0.4766052163869618
炸鱼,chips,0.4765612305700349
洛杉矶,los,0.47655743767543274
柜台,counter,0.47654456506270526
生产,production,0.4764170058952168
像个,like,0.4762983066812974
城,city,0.47629273582706944
腺体,glands,0.4762589425339779
露天表演,pageants,0.47624106257070703
金牌,medal,0.4762060214377677
英语课,english,0.4761844538295309
保护主义,protectionism,0.47609287803453
背到,humped,0.4760393984652459
平静下来,down,0.47598389164810734
鸦片,opium,0.4759748564041045
世界大战,world,0.4759505424862309
一击,blow,0.4759397473775254
哈佛大学,harvard,0.4759393410536811
否则,or,0.47592750834447145
教学,teaching,0.4759248027845564
买一,buy,0.47592020375331406
宇宙飞船,spaceship,0.47588453874085906
盛菜,serve,0.4758500912499475
古典音乐,classical,0.4757341414122366
苹果酒,cider,0.4757005695682899
乡,country,0.4756637390754483
煎,fried,0.47562744684192587
拉丁文,latin,0.47550002498760313
网下,under,0.4754593980599907
找她,her,0.47545245213489046
农村,country,0.47544532708173654
总有,always,0.47543077987851684
行为,act,0.4753889887042732
党内,party,0.47528399289313217
头,head,0.47526758837805894
手工,hand,0.47525149839901354
更,more,0.4752148572307467
沉下来,fell,0.4752050620635843
水库,reservoir,0.4752044586797487
树上,tree,0.4751928590867946
有一天,day,0.47513344049550843
邱吉尔,churchill,0.4751123078888525
音乐声,music,0.47509515788551143
谕,address,0.4750752745059563
笑声,laughter,0.4750634822538277
木材,wood,0.4750343685509827
自燃,spontaneously,0.4749884324278103
大骗子,great,0.4749597778757563
迟的,late,0.4749472240668813
小姑娘,girl,0.4749384966406865
和着,to,0.47492481907038125
文科,liberal,0.4748798506522358
海,sea,0.474827752569442
保释,bail,0.474789728966807
开了,the,0.47477430750684796
演员,actor,0.47469641508632665
老挝,laos,0.4746907875644725
磷,phosphorus,0.4746902947902967
害羞,shy,0.47468208607125034
分局,station,0.4746360448227385
上星期,week,0.4746157492070628
标本,specimen,0.47449508323136014
希望,hope,0.47448265717432075
血的,blood,0.4744666380858696
磁场,magnetic,0.47442814490040097
见证,witness,0.47437821609563
席位,seat,0.47428583210383407
三大,three,0.47423451737334393
唱名,announced,0.47422188616891237
切成,cut,0.47420925997208524
重新制定,reorganizing,0.4742069407800755
情报,information,0.4741677222373782
跟你,you,0.47404704252866126
驱动器,drive,0.47399554208449945
豪饮,deep,0.4739764589158664
商业,business,0.4737933544487068
羸,gain,0.4737635251920148
台词,lines,0.4737201977722595
鸭,duck,0.47371759984380274
试试,try,0.47369734688988574
枝节,nonessentials,0.4736468474528866
门口,door,0.4736150677039991
叫她,her,0.47360101677689287
待到,stay,0.4735793356553545
前先,before,0.4735158004597627
法国,france,0.47341272572613086
欧洲人,european,0.4734018101452865
繁荣,prosperity,0.4733959152454479
同租,tenants,0.4733644013184154
六万,us,0.4733408782746374
加利利,galilee,0.47329406850184924
溺毙,drowning,0.4732388571118664
镭,radium,0.47323694517118103
晚安,good,0.4731668097272693
电工,electrician,0.47314475851656485
家臣,retainer,0.47313720246126395
跳棋,checkers,0.4731117451905372
登山运动,mountaineering,0.4731094849528156
出局,out,0.4730613279123985
大约有,about,0.473033777947635
论点,argument,0.47296487830321593
秋季,autumn,0.4729338354083564
人造丝,rayon,0.4728783398603398
锡矿,tin,0.4728739093823045
可以,can,0.4728589420119792
辣椒,pepper,0.4727776627794327
动物学,zoology,0.47276117042904314
经济学,economics,0.47274323143509384
keyword,categorize,0.47263706185350063
调子,tune,0.472626505458378
指挥权,command,0.47256647009661706
无家可归,homeless,0.4725417321450808
三种,three,0.47252761643959545
商业广告,commercials,0.4725173667553466
雅各,jacob,0.47248778836984934
逻辑学家,practitioner,0.4723623998433038
走进,into,0.4723454314560143
作声,the,0.4723266136109317
濒临绝种,endangered,0.4723179679973607
明年,next,0.4722876079604449
风疹,infected,0.47227989934359604
老太太,old,0.4722756243546417
参考书,reference,0.4722672424760945
伯父,uncle,0.4721836255957734
齐全,turnkey,0.4721302755401433
工作,work,0.472128955658595
1768,appeared,0.4721086136285202
开关,switch,0.47210212125352213
单身汉,bachelor,0.4720909802242629
司法权,jurisdiction,0.4720580419181181
公里,kilometers,0.4720415984163165
每天,day,0.4719952975643416
辅音,consonant,0.4719709027581087
金矿,gold,0.471899080173935
可食用,edible,0.47189904262717725
鳍,fin,0.4717895165218841
那首,the,0.4717859512896705
吐司,toast,0.4717810325461879
岁月,years,0.4717701477648619
把头,head,0.47175608375890127
糖霜,icing,0.47174978802156703
曲棍球,hockey,0.47174491271140606
驱,the,0.4717222329614267
肉制品,products,0.4717171064705843
陌生人,stranger,0.4717133913392596
战斗,battle,0.4715586971639306
交流,communication,0.47154796352897355
哥伦布,columbus,0.4715429013370225
滚出,bowled,0.47153310051959013
缝合处,seam,0.47148148476255985
官职,office,0.47140937462971205
那个,the,0.4714033373663519
